# INCOMPLETE build 70009: 31716 spells exist, highest 1322007, scanned to 1522007; names skipped 0, never loaded 13; 10 without description
# names never loaded: 27997, 32837, 32980, 32981, 34320, 34584, 37214, 37655, 38334, 39440, 243798, 243809, 245186
19705	0		Well Fed | Instant
19706	0		Well Fed | Instant
19708	0	If you spend at least 10 seconds eating you will become well fed and gain 6 Stamina and Spirit for 15 min.	Well Fed | Instant | If you spend at least 10 seconds eating you will become well fed and gain 6 Stamina and Spirit for 15 min.
19709	0		Well Fed | Instant
19710	0		Well Fed | Instant
19711	0		Well Fed | Instant
24799	0		Well Fed | Instant
24870	0		Well Fed | Instant
25694	0		Well Fed | Instant
25941	0		Well Fed | Instant
1225778	0	If you spend at least 10 sec eating you will become Well Fed and gain 25 Strength and 10 Stamina for 15 min.	Well Fed | Instant | If you spend at least 10 sec eating you will become Well Fed and gain 25 Strength and 10 Stamina for 15 min.
1225779	0	If you spend at least 10 sec eating you will become Well Fed and gain 25 Agility and 10 Stamina for 15 min.	Well Fed | Instant | If you spend at least 10 sec eating you will become Well Fed and gain 25 Agility and 10 Stamina for 15 min.
1225780	0	If you spend at least 10 sec eating you will become Well Fed and gain 25 Spell Damage, 55 Healing Power, and 10 Stamina for 15 min.	Well Fed | Instant | If you spend at least 10 sec eating you will become Well Fed and gain 25 Spell Damage, 55 Healing Power, and 10 Stamina for 15 min.
1225782	0	If you spend at least 10 sec eating you will become Well Fed and gain 20 Attack Power, 23 Spell Damage, 44 Healing Power, and 10 Stamina for 45 min.	Well Fed | Instant | If you spend at least 10 sec eating you will become Well Fed and gain 20 Attack Power, 23 Spell Damage, 44 Healing Power, and 10 Stamina for 45 min.
1248406	0	A nutritious meal has made you Well Fed, increasing your Stamina.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Stamina.
1248420	0	A nutritious meal has made you Well Fed, increasing your Agility.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Agility.
1248421	0	A nutritious meal has made you Well Fed, increasing your Intellect.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Intellect.
1248422	0	A nutritious meal has made you Well Fed, increasing your Strength.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Strength.
1248688	0	A nutritious meal has made you Well Fed, increasing your movement speed.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your movement speed.
1249519	0	A nutritious meal has made you Well Fed, increasing your Attack Power.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Attack Power.
1249520	0	A nutritious meal has made you Well Fed, increasing your Spell Damage.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Spell Damage.
1249521	0	A nutritious meal has made you Well Fed, increasing your Fishing Skill.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Fishing Skill.
1249523	0	A nutritious meal has made you Well Fed, increasing your chance to deal a critical strike.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your chance to deal a critical strike.
1249907	0	A tasty drink has made you Well Fed, increasing your herbalism skill.	Well Fed | Instant | A tasty drink has made you Well Fed, increasing your herbalism skill.
1249926	0	A tasty drink has made you Well Fed, increasing your Spirit.	Well Fed | Instant | A tasty drink has made you Well Fed, increasing your Spirit.
1249927	0	A tasty drink has made you Well Fed, increasing your Healing Power.	Well Fed | Instant | A tasty drink has made you Well Fed, increasing your Healing Power.
1283082	0		Well Fed | Instant
1294007	0	A nutritious meal has made you Well Fed, increasing your movement speed.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your movement speed.
1302064	0	A nutritious meal has made you Well Fed, increasing your Strength.	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Strength.
1319310	0	A nutritious meal has made you Well Fed, increasing your Armor..	Well Fed | Instant | A nutritious meal has made you Well Fed, increasing your Armor..
